d,x0,x1,x2,Z1,Z2,FE1,FE2
0.0,-1.0506052350187536,0.5124697080233646,0.8165486313804804,-0.8166669850026298,-0.06913931350411025,1.0,1.0
0.0,0.3262243238979803,-0.17220270515095276,-1.0032824221933638,0.3274970678117041,0.041694479125337025,0.0,0.0
0.0,-2.288493323420804,1.2142259330493361,0.5391008955199843,-0.751598776647733,-1.382766840239488,0.0,0.0
0.0,-1.7311235716833242,-0.9386219429001171,1.2343272253276916,-0.30405732539242264,-1.487826538338963,0.0,0.0
1.0,0.5550345833452859,-0.028209346070193774,1.2624952631172428,-0.03534723944415887,0.49835390600871304,1.0,0.0
0.0,-0.6061822415143852,0.5533371780495632,0.7213559545225613,-0.5203247459429052,-0.2823074842728235,0.0,0.0
1.0,-0.3750975396411132,0.10091287749707953,0.2536949680735555,0.40646894339159406,-0.38067917753507113,0.0,0.0
0.0,-2.599809804527608,-0.7194901675500457,0.8568341720345666,-0.7295847529182116,-1.7521006836286475,1.0,0.0
1.0,-1.34235012809781,-0.4892182979798485,1.1471115464638657,-0.1733579054122991,-1.1062987732883434,0.0,0.0
1.0,3.9729648051947013,0.4921555464504686,-1.2489264811763012,1.942841883742761,2.1722445712157707,0.0,0.0
1.0,0.36614558330607544,0.5099568489115491,0.3901561302083342,0.595603770173598,-0.10444399875529677,1.0,1.0
0.0,-1.0910141926900232,0.6480239159907999,-0.5089058409373759,-2.0707002293715138,1.1469953491923044,1.0,0.0
1.0,-0.3390173961838183,-0.4759518738141683,-0.33097977465927164,-1.7425701802661817,1.1244921760231195,0.0,0.0
0.0,0.10706163068734022,0.3062675534797496,-0.29594625401964747,0.8388062354106577,-0.7448855979004328,1.0,0.0
1.0,2.5281710439292695,1.8504362663809018,0.016944317315103957,2.2430974949893536,0.36507934092532196,0.0,1.0
1.0,0.6118152242515963,0.9365258881201636,0.04526770950231683,-0.08604664092042363,1.0547185821345795,0.0,0.0
1.0,0.14981914265865487,-1.8339034095131013,-0.4415230510945886,-0.3515869455921692,0.5442398412725982,0.0,0.0
1.0,1.619021656772434,-0.27077699703410807,-1.3885933378545658,0.7688230731215131,1.0104079673378534,0.0,0.0
0.0,-2.0753086359871498,-0.8017719430967168,-0.38070136852117553,-0.572638975816756,-1.5920820612235316,0.0,0.0
0.0,-2.714516073462773,1.937087454652579,1.5276730504951144,-0.4476983515310446,-2.2638066037091766,1.0,0.0
1.0,2.012303049506644,-0.16993497576722397,-1.0639373105679601,0.6950648968502506,1.3016761955275136,0.0,0.0
0.0,1.7042353348892174,1.2471348136134137,-0.1318354435195362,0.8888795586401409,1.0310289146524725,0.0,1.0
0.0,0.6284422829336512,-1.2747286862412692,-2.2745801778457357,-0.31143613617761734,0.6832128762113249,0.0,0.0
1.0,0.9989536154773653,-0.011379866930843408,0.800758623994205,0.35026551926539856,0.6427034678443608,0.0,0.0
0.0,-0.5063956812787971,1.0326424186679848,-0.43247304417227844,0.29775432570340843,-0.746572709904945,0.0,0.0
1.0,1.3815236616962454,-0.14743197363814448,0.6188276221708071,-0.4312613967064763,1.8057924525726337,1.0,0.0
